geoid,total_pop,median_income,state,county,tract,name,b01003_001_moe,b19013_001_moe
06037122000,5034,93454,06,037,122000,"Los Angeles County, California",775.0,6540.0
06037122120,4692,59770,06,037,122120,"Los Angeles County, California",572.0,10456.0
06037122121,2853,61875,06,037,122121,"Los Angeles County, California",517.0,16712.0
06037122122,2507,46149,06,037,122122,"Los Angeles County, California",664.0,4949.0
06037122200,3884,65255,06,037,122200,"Los Angeles County, California",389.0,9837.0
06037122410,3949,55345,06,037,122410,"Los Angeles County, California",559.0,13726.0
06037122420,5113,74966,06,037,122420,"Los Angeles County, California",662.0,20476.0
06037123010,3948,48549,06,037,123010,"Los Angeles County, California",538.0,5943.0
06037123020,2634,81250,06,037,123020,"Los Angeles County, California",412.0,2858.0
06037123103,3917,80857,06,037,123103,"Los Angeles County, California",586.0,11935.0
06037123104,4393,69276,06,037,123104,"Los Angeles County, California",553.0,6505.0
06037123203,2982,40938,06,037,123203,"Los Angeles County, California",253.0,26209.0
06037123204,3399,64550,06,037,123204,"Los Angeles County, California",704.0,8695.0
06037123205,2959,53281,06,037,123205,"Los Angeles County, California",696.0,13864.0
06037123206,2371,41750,06,037,123206,"Los Angeles County, California",264.0,9881.0
06037123301,4068,72668,06,037,123301,"Los Angeles County, California",513.0,17289.0
06037123303,3029,69958,06,037,123303,"Los Angeles County, California",274.0,12479.0
06037123304,4499,44009,06,037,123304,"Los Angeles County, California",625.0,12970.0
06037123410,3503,51828,06,037,123410,"Los Angeles County, California",577.0,2752.0
06037123420,4401,54572,06,037,123420,"Los Angeles County, California",709.0,12528.0
06037123510,4911,47805,06,037,123510,"Los Angeles County, California",673.0,9505.0
06037123520,2619,57446,06,037,123520,"Los Angeles County, California",352.0,9355.0
06037123601,5145,66642,06,037,123601,"Los Angeles County, California",729.0,26092.0
06037123602,3190,58705,06,037,123602,"Los Angeles County, California",564.0,17036.0
06037123700,4214,90767,06,037,123700,"Los Angeles County, California",560.0,12113.0
06037123800,5696,90933,06,037,123800,"Los Angeles County, California",809.0,19512.0
06037123901,3986,41154,06,037,123901,"Los Angeles County, California",628.0,15409.0
06037123902,2668,88438,06,037,123902,"Los Angeles County, California",402.0,30626.0
06037124000,4432,78493,06,037,124000,"Los Angeles County, California",563.0,44473.0
06037124102,3650,67131,06,037,124102,"Los Angeles County, California",811.0,19900.0
06037124103,1811,57793,06,037,124103,"Los Angeles County, California",317.0,7537.0
06037124104,2764,50724,06,037,124104,"Los Angeles County, California",569.0,11031.0
06037124105,2250,62845,06,037,124105,"Los Angeles County, California",266.0,7790.0
06037124201,3837,77379,06,037,124201,"Los Angeles County, California",949.0,16575.0
06037124203,2003,63851,06,037,124203,"Los Angeles County, California",280.0,11635.0
06037124204,2302,50921,06,037,124204,"Los Angeles County, California",363.0,9998.0
06037124300,2964,62426,06,037,124300,"Los Angeles County, California",384.0,12374.0
06037124400,4582,84957,06,037,124400,"Los Angeles County, California",814.0,27507.0
06037124500,2695,75625,06,037,124500,"Los Angeles County, California",368.0,9157.0
06037124600,2608,91452,06,037,124600,"Los Angeles County, California",366.0,14605.0
06037124700,5409,101863,06,037,124700,"Los Angeles County, California",833.0,39652.0
06037124902,3301,58178,06,037,124902,"Los Angeles County, California",593.0,11788.0
06037124903,3744,75907,06,037,124903,"Los Angeles County, California",493.0,11948.0
06037125101,3978,81758,06,037,125101,"Los Angeles County, California",762.0,11495.0
06037125102,1948,158596,06,037,125102,"Los Angeles County, California",246.0,21209.0
06037125200,3889,88274,06,037,125200,"Los Angeles County, California",672.0,12136.0
06037125310,3598,58162,06,037,125310,"Los Angeles County, California",751.0,21361.0
06037125321,2761,53778,06,037,125321,"Los Angeles County, California",610.0,22360.0
06037125322,1981,34432,06,037,125322,"Los Angeles County, California",373.0,25764.0
06037125402,4403,86170,06,037,125402,"Los Angeles County, California",797.0,17649.0
06037125403,2571,80893,06,037,125403,"Los Angeles County, California",527.0,20380.0
06037125404,2886,77574,06,037,125404,"Los Angeles County, California",518.0,12024.0
06037125501,2871,62109,06,037,125501,"Los Angeles County, California",341.0,23218.0
06037125502,3624,78139,06,037,125502,"Los Angeles County, California",483.0,10463.0
06037125600,2941,105432,06,037,125600,"Los Angeles County, California",401.0,23810.0
06037127102,4956,50739,06,037,127102,"Los Angeles County, California",648.0,12237.0
06037127103,3360,58591,06,037,127103,"Los Angeles County, California",594.0,10306.0
06037127104,4385,63158,06,037,127104,"Los Angeles County, California",1000.0,9955.0
06037127210,5630,63255,06,037,127210,"Los Angeles County, California",765.0,9615.0
06037127220,5219,44846,06,037,127220,"Los Angeles County, California",627.0,7927.0
06037127300,3942,71860,06,037,127300,"Los Angeles County, California",647.0,16431.0
06037127400,5855,66009,06,037,127400,"Los Angeles County, California",573.0,10429.0
06037127520,4722,48750,06,037,127520,"Los Angeles County, California",714.0,4860.0
06037127603,2791,55739,06,037,127603,"Los Angeles County, California",307.0,6706.0
06037127604,3141,48750,06,037,127604,"Los Angeles County, California",414.0,11460.0
06037127605,3734,58903,06,037,127605,"Los Angeles County, California",733.0,15796.0
06037127606,3110,64915,06,037,127606,"Los Angeles County, California",441.0,13110.0
06037127711,3207,93441,06,037,127711,"Los Angeles County, California",399.0,5775.0
06037127712,3859,60514,06,037,127712,"Los Angeles County, California",920.0,7648.0
06037127803,5068,64607,06,037,127803,"Los Angeles County, California",853.0,13868.0
06037127804,4728,68599,06,037,127804,"Los Angeles County, California",1204.0,8899.0
06037127805,3518,52900,06,037,127805,"Los Angeles County, California",541.0,17854.0
06037127806,3576,75817,06,037,127806,"Los Angeles County, California",402.0,17808.0
06037127910,4908,53783,06,037,127910,"Los Angeles County, California",771.0,15061.0
06037127920,4622,69495,06,037,127920,"Los Angeles County, California",799.0,18015.0
06037128101,2890,80714,06,037,128101,"Los Angeles County, California",415.0,21174.0
06037128102,4750,58603,06,037,128102,"Los Angeles County, California",612.0,9799.0
06037128210,5357,57679,06,037,128210,"Los Angeles County, California",905.0,16258.0
06037128220,2832,61389,06,037,128220,"Los Angeles County, California",359.0,17224.0
06037128302,4790,63047,06,037,128302,"Los Angeles County, California",726.0,7389.0
06037128303,3487,41328,06,037,128303,"Los Angeles County, California",637.0,11892.0
06037128400,4241,101955,06,037,128400,"Los Angeles County, California",518.0,21212.0
06037128500,4104,118460,06,037,128500,"Los Angeles County, California",455.0,16250.0
06037128601,5020,64482,06,037,128601,"Los Angeles County, California",943.0,14459.0
06037128602,2863,88333,06,037,128602,"Los Angeles County, California",343.0,39919.0
06037128703,3252,86080,06,037,128703,"Los Angeles County, California",656.0,14980.0
06037128704,2335,128472,06,037,128704,"Los Angeles County, California",305.0,35906.0
06037128801,3740,85781,06,037,128801,"Los Angeles County, California",578.0,15011.0
06037128802,4186,107653,06,037,128802,"Los Angeles County, California",539.0,17308.0
06037128910,4741,108333,06,037,128910,"Los Angeles County, California",606.0,18492.0
06037131021,3423,58333,06,037,131021,"Los Angeles County, California",711.0,23550.0
06037131022,2917,63140,06,037,131022,"Los Angeles County, California",403.0,8398.0
06037131023,2774,77880,06,037,131023,"Los Angeles County, California",395.0,13624.0
06037131024,3984,93929,06,037,131024,"Los Angeles County, California",1074.0,12924.0
06037131100,3340,104750,06,037,131100,"Los Angeles County, California",450.0,20454.0
06037131200,3796,102095,06,037,131200,"Los Angeles County, California",605.0,12639.0
06037131300,4502,69651,06,037,131300,"Los Angeles County, California",819.0,31771.0
06037131400,6175,88661,06,037,131400,"Los Angeles County, California",962.0,10696.0
06037131600,5194,84524,06,037,131600,"Los Angeles County, California",810.0,28412.0
06037131701,5297,92935,06,037,131701,"Los Angeles County, California",593.0,21244.0
06037131702,3958,74227,06,037,131702,"Los Angeles County, California",566.0,12664.0
06037131801,3068,53707,06,037,131801,"Los Angeles County, California",518.0,14614.0
06037131802,2481,99087,06,037,131802,"Los Angeles County, California",472.0,27211.0
06037131900,4255,126282,06,037,131900,"Los Angeles County, California",736.0,8885.0
06037132001,2947,91012,06,037,132001,"Los Angeles County, California",323.0,38138.0
06037132002,3707,96408,06,037,132002,"Los Angeles County, California",852.0,15605.0
06037132101,4319,68246,06,037,132101,"Los Angeles County, California",1247.0,21569.0
06037132102,5279,68548,06,037,132102,"Los Angeles County, California",635.0,25341.0
06037132301,3689,59484,06,037,132301,"Los Angeles County, California",634.0,13337.0
06037132302,3178,86464,06,037,132302,"Los Angeles County, California",803.0,33221.0
06037132501,4641,74205,06,037,132501,"Los Angeles County, California",853.0,21231.0
06037132502,3565,59018,06,037,132502,"Los Angeles County, California",445.0,21278.0
06037132700,4846,79893,06,037,132700,"Los Angeles County, California",700.0,21535.0
06037132900,3559,96767,06,037,132900,"Los Angeles County, California",609.0,23824.0
06037133000,4373,86914,06,037,133000,"Los Angeles County, California",598.0,19654.0
06037133101,1827,98750,06,037,133101,"Los Angeles County, California",190.0,24691.0
06037133102,3703,44125,06,037,133102,"Los Angeles County, California",562.0,13916.0
06037134001,3715,80682,06,037,134001,"Los Angeles County, California",388.0,10714.0
06037134002,3798,68750,06,037,134002,"Los Angeles County, California",658.0,18381.0
06037134101,5414,81417,06,037,134101,"Los Angeles County, California",659.0,16448.0
06037134103,4584,85000,06,037,134103,"Los Angeles County, California",952.0,32102.0
06037134104,4419,75174,06,037,134104,"Los Angeles County, California",534.0,20849.0
06037134201,4345,92024,06,037,134201,"Los Angeles County, California",664.0,15329.0
06037134302,4287,122563,06,037,134302,"Los Angeles County, California",646.0,38110.0
06037134303,5597,92461,06,037,134303,"Los Angeles County, California",639.0,45206.0
06037134304,3045,74875,06,037,134304,"Los Angeles County, California",257.0,29415.0
06037134305,3840,50278,06,037,134305,"Los Angeles County, California",554.0,17265.0
06037134306,3925,51268,06,037,134306,"Los Angeles County, California",638.0,11648.0
06037134421,4292,124767,06,037,134421,"Los Angeles County, California",580.0,34057.0
06037134422,4933,157969,06,037,134422,"Los Angeles County, California",548.0,19503.0
06037134423,3243,115189,06,037,134423,"Los Angeles County, California",295.0,48093.0
