geoid,geoid20,year,denom_occupied_housing,no_vehicle_count,no_vehicle_pct
1400000US06037139705,6037139705,2023,1302,52,3.9938557
1400000US06037139801,6037139801,2023,1234,0,0
1400000US06037139802,6037139802,2023,1400,0,0
1400000US06037141101,6037141101,2023,2352,171,7.2704082
1400000US06037141102,6037141102,2023,1398,100,7.1530757
1400000US06037141201,6037141201,2023,2238,7,.31277928
1400000US06037141202,6037141202,2023,1466,16,1.0914052
1400000US06037141303,6037141303,2023,1576,255,16.180202
1400000US06037141304,6037141304,2023,1471,179,12.168592
1400000US06037141305,6037141305,2023,1356,90,6.6371679
1400000US06037141306,6037141306,2023,1551,106,6.8343005
1400000US06037141400,6037141400,2023,2004,295,14.720559
1400000US06037141500,6037141500,2023,1133,12,1.0591351
1400000US06037141600,6037141600,2023,1821,56,3.0752335
1400000US06037141700,6037141700,2023,1203,9,.74812967
1400000US06037143101,6037143101,2023,1100,121,11
1400000US06037143102,6037143102,2023,1192,51,4.2785234
1400000US06037143200,6037143200,2023,2114,136,6.4333019
1400000US06037143301,6037143301,2023,1583,69,4.3588123
1400000US06037143302,6037143302,2023,1637,22,1.3439218
1400000US06037143401,6037143401,2023,2337,240,10.269576
1400000US06037143402,6037143402,2023,791,11,1.3906448
1400000US06037143500,6037143500,2023,2452,50,2.0391517
1400000US06037143602,6037143602,2023,2337,120,5.134788
1400000US06037143603,6037143603,2023,1375,33,2.4000001
1400000US06037143605,6037143605,2023,973,111,11.408016
1400000US06037143606,6037143606,2023,1031,62,6.0135789
1400000US06037143700,6037143700,2023,1786,0,0
1400000US06037143801,6037143801,2023,1404,0,0
1400000US06037143802,6037143802,2023,1057,52,4.9195838
1400000US06037143901,6037143901,2023,1655,43,2.5981872
1400000US06037143902,6037143902,2023,1415,66,4.6643109
1400000US06037181000,6037181000,2023,2105,48,2.2802851
1400000US06037181300,6037181300,2023,1326,38,2.8657618
1400000US06037181400,6037181400,2023,1658,117,7.056695
1400000US06037181500,6037181500,2023,1346,83,6.166419
1400000US06037181600,6037181600,2023,1088,132,12.132353
1400000US06037183101,6037183101,2023,1201,76,6.3280602
1400000US06037183103,6037183103,2023,1663,148,8.899579
1400000US06037183104,6037183104,2023,783,47,6.0025544
1400000US06037183220,6037183220,2023,1070,62,5.7943926
1400000US06037183221,6037183221,2023,1126,53,4.7069273
1400000US06037183222,6037183222,2023,1499,100,6.671114
1400000US06037183300,6037183300,2023,1084,128,11.808118
1400000US06037183401,6037183401,2023,827,64,7.7388148
1400000US06037183402,6037183402,2023,1100,64,5.818182
1400000US06037183510,6037183510,2023,782,13,1.6624041
1400000US06037183520,6037183520,2023,1143,104,9.0988626
1400000US06037183610,6037183610,2023,964,79,8.1950207
1400000US06037183620,6037183620,2023,1060,59,5.5660377
1400000US06037183701,6037183701,2023,1304,164,12.576687
1400000US06037183702,6037183702,2023,1086,52,4.7882137
1400000US06037183810,6037183810,2023,1547,281,18.164188
1400000US06037183820,6037183820,2023,1321,151,11.430735
1400000US06037185101,6037185101,2023,1037,75,7.2324014
1400000US06037185102,6037185102,2023,1443,15,1.0395011
1400000US06037185202,6037185202,2023,1562,144,9.2189503
1400000US06037185203,6037185203,2023,851,82,9.6357231
1400000US06037185204,6037185204,2023,722,38,5.2631578
1400000US06037185310,6037185310,2023,869,81,9.3210583
1400000US06037185320,6037185320,2023,955,109,11.413612
1400000US06037186100,6037186100,2023,1862,71,3.8131042
1400000US06037186201,6037186201,2023,1312,205,15.625
1400000US06037186202,6037186202,2023,760,84,11.052631
1400000US06037186203,6037186203,2023,1056,9,.85227275
1400000US06037186301,6037186301,2023,876,69,7.8767123
1400000US06037186302,6037186302,2023,1902,28,1.4721346
1400000US06037186401,6037186401,2023,868,97,11.175116
1400000US06037186403,6037186403,2023,767,59,7.6923075
1400000US06037186404,6037186404,2023,776,48,6.1855669
1400000US06037187101,6037187101,2023,1270,32,2.519685
1400000US06037187102,6037187102,2023,1613,32,1.983881
1400000US06037187200,6037187200,2023,1075,46,4.2790699
1400000US06037187300,6037187300,2023,1642,106,6.4555421
1400000US06037188100,6037188100,2023,1909,64,3.3525405
1400000US06037188201,6037188201,2023,1653,119,7.1990318
1400000US06037188202,6037188202,2023,1299,84,6.4665127
1400000US06037188300,6037188300,2023,1354,94,6.9423928
1400000US06037189101,6037189101,2023,1259,142,11.278792
1400000US06037189102,6037189102,2023,1949,114,5.8491535
1400000US06037189201,6037189201,2023,1759,380,21.603184
1400000US06037189202,6037189202,2023,1415,43,3.0388691
1400000US06037189300,6037189300,2023,1348,84,6.2314539
1400000US06037189400,6037189400,2023,1600,27,1.6875
1400000US06037189501,6037189501,2023,1490,119,7.986577
1400000US06037189502,6037189502,2023,1283,357,27.825409
1400000US06037189600,6037189600,2023,2044,168,8.2191782
1400000US06037189702,6037189702,2023,1476,224,15.176152
