geoid,geoid20,year,denom_total_hh,med_hh_inc_adj,med_hh_inc
1400000US06037185204,6037185204,2023,760,123500,123500
1400000US06037185310,6037185310,2023,909,78438,78438
1400000US06037185320,6037185320,2023,974,59309,59309
1400000US06037186100,6037186100,2023,1932,102429,102429
1400000US06037186201,6037186201,2023,1365,82055,82055
1400000US06037186202,6037186202,2023,817,97083,97083
1400000US06037186203,6037186203,2023,1076,147833,147833
1400000US06037186301,6037186301,2023,900,71518,71518
1400000US06037186302,6037186302,2023,2008,89880,89880
1400000US06037186401,6037186401,2023,920,61250,61250
1400000US06037186403,6037186403,2023,830,95875,95875
1400000US06037186404,6037186404,2023,833,85417,85417
1400000US06037187101,6037187101,2023,1361,91417,91417
1400000US06037187102,6037187102,2023,1689,72760,72760
1400000US06037187200,6037187200,2023,1119,93521,93521
1400000US06037187300,6037187300,2023,1740,115000,115000
1400000US06037188100,6037188100,2023,2027,81283,81283
1400000US06037188201,6037188201,2023,1988,94063,94063
1400000US06037188202,6037188202,2023,1345,192140,192140
1400000US06037188300,6037188300,2023,1484,124728,124728
1400000US06037189101,6037189101,2023,1452,104003,104003
1400000US06037189102,6037189102,2023,2052,116402,116402
1400000US06037189201,6037189201,2023,2002,72625,72625
1400000US06037189202,6037189202,2023,1516,161354,161354
1400000US06037189300,6037189300,2023,1564,182614,182614
1400000US06037189400,6037189400,2023,2101,138444,138444
1400000US06037189501,6037189501,2023,1746,86563,86563
1400000US06037189502,6037189502,2023,1508,55202,55202
1400000US06037189600,6037189600,2023,2369,96755,96755
1400000US06037189702,6037189702,2023,1769,84286,84286
1400000US06037189703,6037189703,2023,1272,100903,100903
1400000US06037189704,6037189704,2023,1468,164233,164233
1400000US06037189801,6037189801,2023,1699,77386,77386
1400000US06037189802,6037189802,2023,1184,120694,120694
1400000US06037189903,6037189903,2023,1768,94250,94250
1400000US06037189904,6037189904,2023,1695,70094,70094
1400000US06037189905,6037189905,2023,1571,80000,80000
1400000US06037189906,6037189906,2023,1662,97104,97104
1400000US06037189907,6037189907,2023,1547,93470,93470
1400000US06037190101,6037190101,2023,1555,42458,42458
1400000US06037190102,6037190102,2023,1657,79491,79491
1400000US06037190201,6037190201,2023,1793,47477,47477
1400000US06037190202,6037190202,2023,2776,46848,46848
1400000US06037190302,6037190302,2023,1411,66894,66894
1400000US06037190303,6037190303,2023,1815,,
1400000US06037190401,6037190401,2023,1879,59192,59192
1400000US06037190402,6037190402,2023,1352,64679,64679
1400000US06037190510,6037190510,2023,2178,52989,52989
1400000US06037190520,6037190520,2023,1666,55026,55026
1400000US06037190701,6037190701,2023,1112,52321,52321
1400000US06037190702,6037190702,2023,935,71221,71221
1400000US06037190801,6037190801,2023,1653,44207,44207
1400000US06037190802,6037190802,2023,1886,76806,76806
1400000US06037190901,6037190901,2023,1595,43667,43667
1400000US06037190902,6037190902,2023,1832,71354,71354
1400000US06037191000,6037191000,2023,4435,66101,66101
1400000US06037191110,6037191110,2023,1250,58482,58482
1400000US06037191120,6037191120,2023,1700,50733,50733
1400000US06037191201,6037191201,2023,1988,43651,43651
1400000US06037191203,6037191203,2023,1114,46500,46500
1400000US06037191204,6037191204,2023,856,70525,70525
1400000US06037191301,6037191301,2023,1044,80086,80086
1400000US06037191302,6037191302,2023,1073,65598,65598
1400000US06037191410,6037191410,2023,1495,53699,53699
1400000US06037191420,6037191420,2023,1162,72574,72574
1400000US06037191500,6037191500,2023,1941,66961,66961
1400000US06037191610,6037191610,2023,1541,52354,52354
1400000US06037191620,6037191620,2023,1066,59896,59896
1400000US06037191710,6037191710,2023,1415,29387,29387
1400000US06037191720,6037191720,2023,1518,48750,48750
1400000US06037191810,6037191810,2023,1349,67321,67321
1400000US06037191820,6037191820,2023,2039,73884,73884
1400000US06037191901,6037191901,2023,2823,67442,67442
1400000US06037191902,6037191902,2023,1760,87750,87750
1400000US06037192001,6037192001,2023,1407,108650,108650
1400000US06037192002,6037192002,2023,1552,122143,122143
1400000US06037192300,6037192300,2023,1790,78979,78979
1400000US06037192410,6037192410,2023,2087,126250,126250
1400000US06037192420,6037192420,2023,1527,68057,68057
1400000US06037192510,6037192510,2023,1321,64643,64643
1400000US06037192520,6037192520,2023,1790,62591,62591
1400000US06037192610,6037192610,2023,1703,48558,48558
1400000US06037192620,6037192620,2023,1300,52614,52614
1400000US06037192700,6037192700,2023,1392,58202,58202
1400000US06037194101,6037194101,2023,2090,97384,97384
1400000US06037194102,6037194102,2023,1675,177697,177697
1400000US06037194200,6037194200,2023,1960,178532,178532
1400000US06037194300,6037194300,2023,1754,228462,228462
1400000US06037194401,6037194401,2023,1616,102634,102634
1400000US06037194402,6037194402,2023,2407,114366,114366
1400000US06037194500,6037194500,2023,1144,108125,108125
1400000US06037195100,6037195100,2023,2432,162066,162066
1400000US06037195201,6037195201,2023,1696,118455,118455
1400000US06037195202,6037195202,2023,1549,166016,166016
1400000US06037195300,6037195300,2023,1715,95385,95385
1400000US06037195400,6037195400,2023,2503,120000,120000
1400000US06037195500,6037195500,2023,2577,120909,120909
1400000US06037195600,6037195600,2023,1302,80417,80417
1400000US06037195710,6037195710,2023,1539,63704,63704
1400000US06037195720,6037195720,2023,991,76696,76696
1400000US06037195802,6037195802,2023,1124,89890,89890
1400000US06037195803,6037195803,2023,1209,89962,89962
1400000US06037195804,6037195804,2023,1236,98472,98472
1400000US06037195901,6037195901,2023,1301,90417,90417
1400000US06037195902,6037195902,2023,1191,133542,133542
1400000US06037195903,6037195903,2023,968,90603,90603
1400000US06037197200,6037197200,2023,1229,98053,98053
1400000US06037197300,6037197300,2023,1953,105690,105690
1400000US06037197410,6037197410,2023,1914,97480,97480
1400000US06037197420,6037197420,2023,1660,101071,101071
1400000US06037197500,6037197500,2023,1898,83167,83167
1400000US06037197600,6037197600,2023,941,90192,90192
1400000US06037197700,6037197700,2023,2238,61507,61507
1400000US06037199001,6037199001,2023,828,51917,51917
1400000US06037199002,6037199002,2023,1197,70519,70519
1400000US06037199110,6037199110,2023,822,73500,73500
1400000US06037199120,6037199120,2023,1136,41850,41850
1400000US06037199201,6037199201,2023,1241,64167,64167
1400000US06037199202,6037199202,2023,934,98083,98083
1400000US06037199300,6037199300,2023,1342,102408,102408
