OBJECTID,COUNTYFP20,TRACTCE20,GEOID20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,Pop23,HH23,LandSqMile,PopDensity,Flag_MHI_P,Source,Comments,Date_Record_Last_Edited,Record_Last_Edited_By,Date_Data_Refers_To,MHI23,ShapeSTArea,ShapeSTLength
8376,85,504601,6085504601,18928786,8860135,37.4428194,-122.0860254,1185,524,7.3084,162,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,93707,44163397.16,31115.3514
8377,85,510001,6085510001,3515661,0,37.3584207,-122.0797124,5990,2025,1.3574,4413,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,250001,5574482.744,12280.22491
8378,85,500500,6085500500,2130403,0,37.3299565,-121.9278951,5661,2144,0.8226,6882,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,177625,3375458.748,8604.137881
8379,85,512100,6085512100,57251607,26337,37.1775734,-121.725563,1729,477,22.105,78,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,97417,90386090.67,46189.40431
8380,85,507402,6085507402,2417399,0,37.2816285,-121.9995882,3961,1545,0.9334,4244,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,239375,3825293.993,11490.28527
8381,7,604,6007000604,1056612,0,39.7357415,-121.8574038,4456,1771,0.408,10922,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,39390,1788957.767,7255.99413
8382,7,700,6007000700,3154723,0,39.7420768,-121.838988,4885,2441,1.218,4011,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,66340,5342257.928,9978.404289
8383,7,800,6007000800,3969618,0,39.7503494,-121.8162178,5736,2568,1.5327,3742,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,79390,6723811.767,13733.6748
8384,85,502907,6085502907,1251551,0,37.2633246,-121.8972821,3811,1338,0.4832,7887,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,205313,1979506.933,5785.577253
8385,85,503336,6085503336,905462,0,37.3067498,-121.8043765,2930,824,0.3496,8381,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,163000,1433754.558,5265.155551
8386,71,25100,6071025100,7231730388,44126434,34.5022634,-114.8402004,1743,743,2792.187,1,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,48875,10739973079,580702.5531
8387,37,272100,6037272100,1199293,0,34.0037101,-118.4422882,4441,1857,0.463,9592,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,128125,1749493.553,5454.447135
8388,37,403403,6037403403,3889027,8226,34.0313386,-117.8398564,5177,1629,1.5016,3448,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,151094,5689161.87,15934.58152
8389,37,407302,6037407302,803838,0,34.0395101,-117.9608467,3593,784,0.3104,11575,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,86154,1173592.898,4525.922915
8390,37,530902,6037530902,523080,0,34.0445234,-118.1810098,3745,1155,0.202,18540,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,41205,763781.2607,4344.736961
8391,37,221110,6037221110,234230,0,34.0457195,-118.2878287,3037,1055,0.0904,33595,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,46234,342022.9647,2549.320222
8392,37,212303,6037212303,155649,0,34.0597633,-118.2935144,3838,1649,0.0601,63860,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,36758,227352.4612,1923.233112
8393,37,201200,6037201200,440870,0,34.0887085,-118.1785472,2677,765,0.1702,15729,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,93309,644404.3284,3842.796131
8394,37,191203,6037191203,205208,0,34.0931674,-118.2939076,2010,968,0.0792,25379,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,46500,299977.5137,2206.304647
8395,33,602,6033000602,294278230,28865456,39.081678,-122.575206,1832,842,113.6215,16,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,53798,537062444.7,191184.8195
8396,33,1302,6033001302,307558204,1780395,38.7540062,-122.5521097,4626,1589,118.7489,39,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,92344,509404260.9,136483.1134
8397,33,1101,6033001101,134765919,396816,38.8821767,-122.7791923,1599,719,52.0334,31,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,65811,223423190.1,90842.3625
8398,33,901,6033000901,41948909,8249644,38.9303812,-122.6934565,2990,1119,16.1966,185,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,76066,83073171.01,43231.69323
8399,33,703,6033000703,22078558,99712,38.985515,-122.6425345,1952,817,8.5246,229,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,39066,36762742.31,33732.24804
8400,33,1102,6033001102,49320631,27805,38.8095353,-122.7318914,1296,583,19.0428,68,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,90920,81415673.29,61391.22549
8401,33,902,6033000902,55597160,21834130,38.9862696,-122.7824591,4468,1919,21.4662,208,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,86526,128330707.9,52582.495
8402,33,704,6033000704,6063931,7705291,38.9718368,-122.67148,2093,694,2.3413,894,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,59063,22814956.25,26633.20099
8403,33,402,6033000402,4073095,1347078,39.0371349,-122.9188324,2654,1331,1.5726,1688,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,46602,8996225.006,16619.94069
8404,33,401,6033000401,4288467,2756694,39.0613022,-122.9165007,3309,1130,1.6558,1998,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,106250,11701726.76,16511.9189
8405,33,601,6033000601,2806031,1681203,39.0218138,-122.6780777,2116,992,1.0834,1953,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,38629,7444489.883,14818.5519
8406,33,1301,6033001301,8325152,362975,38.8080109,-122.5554508,3587,1385,3.2144,1116,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,70972,14328696.33,16888.2516
8407,19,8403,6019008403,4745217,143103,36.8405425,-120.4386597,2034,554,1.8321,1110,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,51250,7646854.493,14586.37547
8408,19,8303,6019008303,21165605,0,36.7708251,-120.4178637,5046,1030,8.1721,617,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,60000,33048930.38,27900.8934
8409,19,8304,6019008304,1277309433,3386618,36.626297,-120.5773805,4564,1007,493.172,9,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,50927,1992212326,219359.342
8410,19,8405,6019008405,156967631,0,36.8531197,-120.5076526,3108,886,60.6055,51,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,43728,245619592.9,80017.44461
8411,19,4003,6019004003,7850985,0,36.7165761,-120.0784796,5054,1359,3.0313,1667,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,117779,12241717.27,14141.26154
8412,19,4005,6019004005,7780926,0,36.7167627,-120.0423737,3745,1190,3.0042,1247,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,29113,12132536.2,14072.2496
8413,19,7204,6019007204,31789175,0,36.5477922,-119.5393082,6335,2501,12.2739,516,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,81598,49352725.69,34585.05974
8414,19,8200,6019008200,815307839,5549878,36.5557769,-120.234647,5812,1560,314.7922,18,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,50119,1274755639,156838.8245
8415,19,7203,6019007203,2797016,0,36.5262505,-119.5374364,1997,601,1.0799,1849,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,130139,4339990.733,9303.143515
8416,19,5526,6019005526,596197,0,36.8413367,-119.7518591,1983,829,0.2302,8614,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,77434,932628.4874,3895.611278
8417,19,4004,6019004004,13103611,0,36.7457604,-120.0781504,4538,1206,5.0593,897,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,60726,20447318.14,18205.53889
8418,19,6001,6019006001,7598884,0,36.721832,-119.5738471,5996,1807,2.9339,2044,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,108750,11850219.14,14716.79674
8419,19,6409,6019006409,560488497,15925621,37.2058395,-119.2805522,1222,499,216.4058,6,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,86250,910313984.4,199716.4651
8420,19,6407,6019006407,508592382,12069756,36.9045724,-119.376434,2533,819,196.3686,13,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,100944,815549124.4,193939.199
8421,19,6410,6019006410,122943299,52262,36.6941245,-119.1241579,2592,819,47.4687,55,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,69849,191661116.4,81105.89155
8422,19,5914,6019005914,1936949,0,36.8144812,-119.6533741,4829,1358,0.7479,6457,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,159156,3027860.725,8013.081325
8423,19,6606,6019006606,1518355,0,36.603441,-119.4363789,5500,1339,0.5862,9382,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,60118,2360620.851,6710.041656
8424,19,602,6019000602,1286119,0,36.7397996,-119.7874426,1485,488,0.4966,2990,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,21019,2006590.087,9142.03618
8425,19,1415,6019001415,3865436,39363,36.7130079,-119.7299271,5629,1499,1.4925,3772,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,85044,6087700.787,10102.37608
8426,19,1417,6019001417,3819611,59670,36.7124196,-119.6915324,6845,1893,1.4748,4641,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,123295,6047960.645,10062.38563
8427,19,8504,6019008504,9752482,0,36.6231442,-119.5522586,4078,846,3.7655,1083,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,71375,15170076.18,16185.21365
8428,19,1416,6019001416,4014143,14160,36.7107994,-119.7088882,6518,1502,1.5499,4205,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,110278,6280315.37,10237.89814
8429,19,5913,6019005913,1292051,0,36.8047681,-119.6549573,3326,908,0.4989,6667,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,126233,2019240.335,6021.450349
8430,19,5916,6019005916,42802771,0,36.7496019,-119.5876378,2512,724,16.5262,152,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,96477,66797572.95,44253.03768
8431,19,7101,6019007101,10936981,74452,36.5633585,-119.6355228,5551,1455,4.2228,1315,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,56533,17101442.45,20118.42713
8432,19,7102,6019007102,3292193,0,36.5714777,-119.6205351,2220,858,1.2711,1747,Data Not Available,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,0,5114244.524,19463.36325
8433,19,6002,6019006002,2052212,0,36.7090138,-119.5638396,4263,1417,0.7924,5380,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,56295,3199306.331,9169.574113
8434,19,6102,6019006102,2304952,0,36.6976846,-119.5636903,4887,1355,0.8899,5492,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,48797,3592262.536,7844.648852
8435,19,6302,6019006302,106505728,837447,36.682091,-119.4417828,2027,785,41.1221,49,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,64873,167241626.2,78301.88874
8436,19,6301,6019006301,53867428,0,36.6187345,-119.410085,5589,1571,20.7983,269,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,83873,83781794.64,42049.09726
8437,19,5529,6019005529,2761722,37440,36.8867056,-119.7551413,6278,2078,1.0663,5888,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,137917,4383799.325,11297.85736
8438,19,6406,6019006406,93446359,72635,37.0011768,-119.4485471,1957,726,36.0798,54,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,90526,146927048.2,59930.24433
8439,19,8404,6019008404,1611476,0,36.8659877,-120.4574467,3731,1187,0.6222,5996,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,47966,2522443.096,9017.719919
8440,19,8503,6019008503,1280215,0,36.6084633,-119.5389437,3967,1045,0.4943,8025,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,66301,1990638.173,5940.998825
8441,19,6408,6019006408,3321551634,51845624,37.2236095,-119.0009358,962,417,1282.4584,1,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,71181,5322889469,482797.8333
8442,19,6411,6019006411,2002865296,22892030,36.8563029,-118.7738863,3153,1263,773.3107,4,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,72563,3168501349,424405.8136
